"COMUNE","CODICE_COMUNE","ETA_MEDIA","PERC_MASCHILE","POPOLAZIONE","PERC_SI_EL22","BASSA_ISTR","ALTA_ISTR","PERC_STRANIERI","PERC_SI_CITTAD_REF25","POSIZIONE_GEO","NUM_VOTI_SI","NUM_VOTI_NO","SI_NO","PERC_SI","SUPERFICIE_kmq","INDICE_POVERTA","INDICE_DISUGUAGLIANZA","INDICE_CETO_MEDIO","DENSITA_Xkmq","FASCIA_POPOLAZIONE"
"ABANO TERME",28001,48.7539581704457,0.477765832681783,20464,0.64,0.404240568490381,0.144433531688717,0.105258014073495,0.60713479340709,"N",5929,4618,"si",0.56215037451408,21.4081,-0.50305992889563,-0.481175727819264,0.485545215320291,955.899869675497,"Grande"
"ABBADIA CERRETO",98001,47.4909090909091,0.501818181818182,275,0.697530864197531,0.543933054393305,0.0711297071129707,0.0654545454545455,0.55,"N",104,59,"si",0.638036809815951,6.1986,2.27253320248427,-0.595430034034527,1.53163462119113,44.3648565805182,"Micro"
"ABBADIA LARIANA",97001,47.7806573957016,0.487041719342604,3164,0.644910179640719,0.417957746478873,0.11830985915493,0.047724399494311,0.645833333333333,"N",879,792,"si",0.526032315978456,16.5965,-0.516508556670241,-0.735964743432643,0.357273114049571,190.642605368602,"Piccolo"
"ABBADIA SAN SALVATORE",52001,49.6612612612613,0.504013104013104,6105,0.464534075104312,0.513152569809794,0.0997571833265884,0.147583947583948,0.626006904487917,"C",1210,1806,"no",0.401193633952255,58.9933,-0.950050946096904,0.237069320344209,0.0603631601044864,103.486328108446,"Medio"
"ABBASANTA",95001,48.6464646464646,0.494949494949495,2574,0.562907735321528,0.52834179357022,0.08248730964467,0.0283605283605284,0.723518850987433,"S",513,662,"no",0.436595744680851,39.8467,-0.775165119907859,0.307951350558146,-0.22002421298495,64.5975701877445,"Piccolo"
"ABBATEGGIO",68001,49.4194444444444,0.508333333333333,360,0.5,0.446745562130178,0.0828402366863905,0.0305555555555556,0.694214876033058,"S",89,94,"no",0.486338797814208,15.4014,1.96936358730614,-0.0296760181205618,2.9827363341346,23.3744984222214,"Micro"
"ABBIATEGRASSO",15002,45.7840039194072,0.489068528385082,32658,0.634880968038932,0.420130630120436,0.121002756069015,0.136505603527466,0.609820193637621,"N",7699,6956,"si",0.525349709996588,47.7777,-0.48905074185081,-0.604153712870584,0.369161411688007,683.54064762431,"Grande"
"ABETONE CUTIGLIANO",47023,52.858939311099,0.495899398578458,1829,0.648148148148148,0.523465703971119,0.0589651022864019,0.0492072170585019,0.642659279778393,"C",545,391,"si",0.582264957264957,74.9918,1.16302226144431,-0.118816198429459,0.750688359340127,24.3893332337669,"Micro"
"ABRIOLA",76001,50.2383673469388,0.485714285714286,1225,0.641791044776119,0.602787456445993,0.0566202090592334,0.0187755102040816,0.690582959641256,"S",206,235,"no",0.467120181405896,97.1894,1.43577345214355,0.177765282807866,0.359204006899849,12.6042551965544,"Micro"
"ACATE",88001,40.9766458433445,0.547813551177319,10405,0.606081548030408,0.641247072599532,0.053864168618267,0.286785199423354,0.507917174177832,"S",1250,1136,"si",0.523889354568315,102.4682,-0.505226260902636,1.02355792091132,-1.32577890030846,101.543698435222,"Medio"
"ACCADIA",71001,47.2942238267148,0.500451263537906,2216,0.309782608695652,0.528451001053741,0.0864067439409905,0.0694945848375451,0.610416666666667,"S",259,600,"no",0.30151338766007,30.7358,-0.810632821604703,1.15232538283965,0.458881833309986,72.0983348408045,"Micro"
"ACCEGLIO",4001,47.7073170731707,0.481707317073171,164,0.631578947368421,0.463768115942029,0.0652173913043478,0.0853658536585366,0.583333333333333,"N",43,45,"no",0.488636363636364,151.5278,1.04411699285205,-0.936945925075327,-0.303716464138015,1.08230964879052,"Micro"
"ACCETTURA",77001,48.7326984126984,0.492063492063492,1575,0.674324324324324,0.593557230980123,0.0527758738862234,0.013968253968254,0.586666666666667,"S",375,341,"si",0.523743016759777,90.3667,1.84277760193348,1.13280734222693,0.285159641216319,17.428986562528,"Micro"
"ACCIANO",66001,55.7611336032389,0.550607287449393,247,0.608,0.462222222222222,0.08,0.0607287449392713,0.583333333333333,"S",66,47,"si",0.584070796460177,32.2232,2.57442387208392,-0.717048658467114,0.272277083595193,7.66528463963852,"Micro"
"ACCUMOLI",57001,52.0596421471173,0.52882703777336,503,0.702127659574468,0.56221198156682,0.0668202764976959,0.117296222664016,0.64,"C",130,83,"si",0.610328638497653,87.3429,2.32020593553824,-1.55922369436226,0.00226883870093553,5.75891114217641,"Micro"
"ACERENZA",76002,49.0572127139364,0.504645476772616,2045,0.538986354775828,0.507454739084132,0.0894568690095847,0.0312958435207824,0.604819277108434,"S",384,520,"no",0.424778761061947,77.6422,-0.958221535259379,1.45215868855594,-0.492572841907405,26.3387693805688,"Micro"
"ACERNO",65001,45.9631429728635,0.505872823005265,2469,0.348598130841122,0.54246935201401,0.0521015761821366,0.02106115836371,0.657575757575758,"S",400,674,"no",0.37243947858473,72.4968,1.61372604628228,-0.44527686433047,-1.62638850026433,34.0566756049922,"Micro"
"ACERRA",63001,40.1824766514418,0.492944304315223,58676,0.255291403350386,0.537771685921285,0.0763266105345604,0.0438168927670598,0.67129810828441,"S",5404,15557,"no",0.257812127284004,54.7117,-0.86449189055337,0.399838011538733,-0.35499920975399,1072.45799344564,"Grande"
"ACI BONACCORSI",87001,44.2683268047006,0.473139339675434,3574,0.516163793103448,0.424649176327029,0.143685173886516,0.0156687185226637,0.632867132867133,"S",678,1018,"no",0.399764150943396,1.7242,-1.13792845371719,0.622133617354852,-0.354385727202277,2072.84537756641,"Piccolo"
"ACI CASTELLO",87002,47.5587421667702,0.480099362050471,17713,0.498234423055018,0.360603801714499,0.196421915765934,0.029526336588946,0.664801627670397,"S",3443,4791,"no",0.4181442798154,8.7542,-1.11132351436532,0.31764670173383,0.205118078084495,2023.37163875625,"Grande"
"ACI CATENA",87003,43.0854691533064,0.491620314828953,27507,0.469118724062169,0.510413740519282,0.0849552550262852,0.0165412440469699,0.599960606657475,"S",4255,5828,"no",0.42199742140236,8.5078,-0.186260492226392,-0.022405087283402,0.125878768386321,3233.15075577705,"Grande"
"ACI SANT'ANTONIO",87005,42.7703584863908,0.496293427749502,18076,0.49870418363569,0.486848544164424,0.0977489601174456,0.0141071033414472,0.615170105967652,"S",3168,4045,"no",0.43920698738389,14.3334,-0.904598346882561,0.587979296477236,0.0151116215814484,1261.11041343994,"Grande"
"ACIREALE",87004,45.598960700243,0.486692616229673,50611,0.512957923382876,0.464059312553467,0.13075522604137,0.031692715022426,0.61970413605716,"S",9361,11520,"no",0.448302284373354,40.4502,-0.840294269276453,0.522463963762437,-0.468477693418048,1251.19282475736,"Grande"
"ACQUAFONDATA",60001,52.6425702811245,0.546184738955823,249,0.441860465116279,0.523605150214592,0.0729613733905579,0.0240963855421687,0.555555555555556,"C",63,60,"si",0.51219512195122,25.3174,4.54961977200417,3.19097456819393,3.27589535764408,9.83513314953352,"Micro"
"ACQUAFORMOSA",78001,50.0312837108954,0.513484358144552,927,0.450854700854701,0.556109725685786,0.0773067331670823,0.112189859762675,0.66824644549763,"S",187,208,"no",0.473417721518987,22.7052,2.8493880542312,-1.14104919142916,-1.056755759319,40.8276518154432,"Micro"
"ACQUAFREDDA",17001,45.0355987055016,0.496440129449838,1545,0.765384615384615,0.56974921630094,0.04858934169279,0.131391585760518,0.58695652173913,"N",516,212,"si",0.708791208791209,9.5463,-1.00799415596727,0.333255615272137,-1.11239961460372,161.842808208416,"Micro"
"ACQUALAGNA",41001,46.2477174435368,0.497357039884671,4162,0.599907278627724,0.460537247299917,0.0872334533370258,0.0718404613166747,0.577726218097448,"C",1133,974,"si",0.537731371618415,50.6846,-0.829495372109866,-0.0902225624613684,-0.953691217946493,82.1156722160183,"Piccolo"
"ACQUANEGRA CREMONESE",19001,47.6450252951096,0.497470489038786,1186,0.727748691099476,0.514432989690722,0.0597938144329897,0.120573355817875,0.431192660550459,"N",347,170,"si",0.671179883945841,9.216,-0.949881683173637,0.468332814559312,-0.127595310240803,128.689236111111,"Micro"
"ACQUANEGRA SUL CHIESE",20001,48.2331739610151,0.497241632953292,2719,0.684665226781857,0.546765734265734,0.0603146853146853,0.107760205958073,0.654690618762475,"N",788,464,"si",0.629392971246006,28.0145,-0.765044608338851,0.513365619862808,-0.445049049567184,97.05688125792,"Piccolo"
"ACQUAPENDENTE",56001,49.3938755980861,0.499712918660287,5225,0.592982456140351,0.460439809566992,0.120380866016776,0.112918660287081,0.651629072681704,"C",1377,1338,"si",0.507182320441989,131.6022,-0.613602532316516,0.330277130431067,-1.06124790968225,39.7029836887225,"Medio"
"ACQUAPPESA",78002,48.6885714285714,0.490857142857143,1750,0.466360856269113,0.46958174904943,0.0925221799746515,0.0342857142857143,0.65,"S",222,409,"no",0.351822503961965,14.3815,-0.350396366863669,0.45743614389286,-0.753998394890561,121.684108055488,"Micro"
"ACQUARO",102001,50.3333333333333,0.481481481481481,1809,0.772684752104771,0.654502648616833,0.0559152442613302,0.00773908236594804,0.680555555555556,"S",243,360,"no",0.402985074626866,25.2495,1.59211074517299,-1.01178667074381,-1.93133717754461,71.6449830689717,"Micro"
"ACQUASANTA TERME",44001,52.1580685101114,0.506397028477095,2423,0.667410714285714,0.531487271103171,0.0616346583296114,0.0268262484523318,0.573498964803313,"C",778,512,"si",0.603100775193798,138.3914,-1.18209061737001,1.01852634840013,0.651843025948191,17.5083133778544,"Micro"
"ACQUASPARTA",55001,48.5722822339692,0.485865318317628,4351,0.597457627118644,0.414713896457766,0.105722070844687,0.117214433463572,0.635775862068966,"C",1097,976,"si",0.529184756391703,81.6057,-0.869088865966665,1.09813770223533,1.16780718901465,53.3173540573759,"Piccolo"
"ACQUAVIVA COLLECROCE",70001,53.2677595628415,0.51183970856102,549,0.673758865248227,0.555125725338491,0.0773694390715667,0.0145719489981785,0.577981651376147,"S",152,112,"si",0.575757575757576,28.5993,5.72324992722474,2.40072558873634,-3.33480090354085,19.1962740346792,"Micro"
"ACQUAVIVA D'ISERNIA",94001,49.1008645533141,0.530259365994236,347,0.636871508379888,0.439024390243902,0.11890243902439,0.0201729106628242,0.626666666666667,"S",102,84,"si",0.548387096774194,13.5139,2.0849584495552,-0.172955249952896,2.3100757615348,25.677265630203,"Micro"
"ACQUAVIVA DELLE FONTI",72001,46.8856477261217,0.485516053884331,19746,0.478200692041522,0.45478484984312,0.117099955177051,0.034994429251494,0.687763002861471,"S",3876,6046,"no",0.390647046966337,132.0244,-0.829750639753772,0.766495376284578,0.330727946975095,149.563262548438,"Grande"
"ACQUAVIVA PICENA",44002,47.9028125870231,0.49317738791423,3591,0.551724137931034,0.474762924441725,0.0985010706638116,0.0442773600668337,0.625,"C",793,964,"no",0.4513375071144,21.0458,-0.308565113033053,-0.292511054523935,0.0867541428003971,170.627868743407,"Piccolo"
"ACQUAVIVA PLATANI",85001,49.9188544152745,0.494033412887828,838,0.391521197007481,0.578745198463508,0.058898847631242,0.013126491646778,0.68125,"S",114,194,"no",0.37012987012987,14.6335,2.24462151325273,0.048081265116296,2.16196484262446,57.2658625755971,"Micro"
"ACQUEDOLCI",83107,45.778806024315,0.484485574305934,5511,0.48,0.530739770207619,0.102197137673856,0.0252222827073126,0.637028014616322,"S",961,1070,"no",0.473165928114229,12.9641,0.0568951213582969,0.0310435344925585,-0.440448999689978,425.096998634691,"Medio"
"ACQUI TERME",6001,50.154801368061,0.471665351223362,19005,0.63177735890897,0.447353621196026,0.108667124914079,0.113812154696133,0.592844600526778,"N",4691,4526,"si",0.5089508516871,33.2966,-0.312156998059633,-0.431657400421881,-0.0452996740598604,570.778998456299,"Grande"
